t,theta
0,30.4
500,28.5
1000,23.5
1500,18.5
2000,13.5
2500,8.5 
3000,3.4
3500,-1.4  
4000,-6.0
4500,-10.2
5000,-14.0
5500,-17.5
6000,-21.2
6500,-24.3 
7000,-27.0
7500,-29.4 
8000,-31.5
8500,-33.5
9000,-35.3
